task,split,system_a,system_b,shared_examples,macro_f1_delta_a_minus_b,ci_low,ci_high
task2,dev,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,690,-0.023038621185035708,-0.07491361071753407,0.02223787858720225
task2,dev,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,690,-0.06093769715498777,-0.10569544653651977,-0.02231630670572088
task2,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,137,0.025675068311124663,-0.060921374250546056,0.10818944252615373
task2,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,137,0.013531189192416177,-0.10885793251242293,0.12911227360053587
task2,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,137,-0.08611086100531452,-0.19608800440887103,0.027668267798019286
task2,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,137,-0.07426894530209392,-0.20111964285775738,0.03331400006962613
task2,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,137,-0.012489742244825387,-0.12254293402054277,0.0927526363847201
task2,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,137,-0.12390466043601815,-0.2480130775888098,-0.019572623867976258
task2,dev,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,690,-0.01581078764997193,-0.05148488139859993,0.01752691476598022
task2,dev,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,690,-0.05434608453297805,-0.09708054931293622,-0.011792865937527722
task2,dev,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,690,-0.0535846776954354,-0.09074282989614135,-0.015226708092190275
task2,dev,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,690,-0.06450513710117427,-0.11976491432867008,-0.013141243776250141
task2,dev,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,690,-0.10240421307112633,-0.1445320360905807,-0.0675021445442856
task2,dev,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,690,-0.03853529688300612,-0.08533350716242626,0.0032510285048823234
task2,dev,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,690,-0.03777389004546348,-0.07771367763231517,0.0013634762906454812
task2,dev,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,690,-0.048694349451202344,-0.10018802169357906,0.002821787990865905
task2,dev,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,690,-0.08659342542115439,-0.1296444192774634,-0.04650078681610751
task2,dev,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,690,0.0007614068375426474,-0.038216359447419204,0.041810886818397834
task2,dev,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,690,-0.010159052568196216,-0.05449920824451633,0.03779086093407953
task2,dev,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,690,-0.04805812853814828,-0.08995160093108687,-0.007552032248784138
task2,dev,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,690,-0.010920459405738865,-0.056004339933890916,0.03461995945775921
task2,dev,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,690,-0.04881953537569093,-0.09180562994231806,-0.008264021070189103
task2,dev,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,690,-0.03789907596995207,-0.08342150394254552,0.005936557322218795
task2,test,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,275,-0.05441730992319154,-0.11574207292016735,-0.001894915491029636
task2,test,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,275,0.022548434824674463,-0.02738001008235532,0.07408830152713805
task2,test,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,275,-0.028926254439869438,-0.097010853090773,0.053913715177911214
task2,test,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,275,-0.06419303604060012,-0.1462849103203366,0.018054924689405526
task2,test,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,275,-0.08400572545872051,-0.15564168180019755,-0.010746639643673695
task2,test,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,275,-0.10107551600192652,-0.17828437356996912,-0.021311138340824133
task2,test,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,275,-0.028515199673856708,-0.12733092178801111,0.06721850568019626
task2,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,275,0.076965744747866,0.023624360154008216,0.13194428545822842
task2,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,275,0.025491055483322093,-0.043169592738008626,0.10066813771563533
task2,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,275,-0.009775726117408585,-0.08439881377799896,0.06102326229470606
task2,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,275,-0.029588415535528965,-0.1070701355923567,0.04531605944735199
